Motion Sensor Data File Oct 15, 2024 2:31 PM
Time (s)	Distance (cm)	Dist Error (cm)
8.580	25.741	0.239
8.590	25.453	0.239
8.600	25.164	0.239
8.610	24.888	0.239
8.620	24.596	0.239
8.630	24.307	0.239
8.640	24.040	0.239
8.650	23.765	0.239
8.660	23.498	0.239
8.670	23.248	0.239
8.680	23.008	0.239
8.690	22.771	0.239
8.700	22.572	0.239
8.710	22.379	0.239
8.720	22.211	0.239
8.730	22.056	0.239
8.740	21.918	0.239
8.750	21.814	0.239
8.760	21.728	0.239
8.770	21.663	0.239
8.780	21.633	0.239
8.790	21.615	0.239
8.800	21.620	0.239
8.810	21.662	0.239
8.820	21.709	0.239
8.830	21.782	0.239
8.840	21.902	0.239
8.850	22.026	0.239
8.860	22.176	0.239
8.870	22.352	0.239
8.880	22.533	0.239
8.890	22.752	0.239
8.900	22.975	0.239
8.910	23.202	0.239
8.920	23.456	0.239
8.930	23.714	0.239
8.940	23.980	0.239
8.950	24.263	0.239
8.960	24.538	0.239
8.970	24.822	0.239
8.980	25.114	0.239
8.990	25.397	0.239
9.000	25.689	0.239
9.010	25.960	0.239
9.020	26.222	0.239
9.030	26.492	0.239
9.040	26.737	0.239
9.050	26.969	0.239
9.060	27.197	0.239
9.070	27.394	0.239
9.080	27.574	0.239
9.090	27.746	0.239
9.100	27.883	0.239
9.110	28.008	0.239
9.120	28.115	0.239
9.130	28.188	0.239
9.140	28.248	0.239
9.150	28.277	0.239
9.160	28.277	0.239
9.170	28.264	0.239
9.180	28.216	0.239
9.190	28.147	0.239
9.200	28.065	0.239
9.210	27.944	0.239
9.220	27.806	0.239
9.230	27.656	0.239
9.240	27.475	0.239
9.250	27.272	0.239
9.260	27.070	0.239
9.270	26.838	0.239
9.280	26.601	0.239
9.290	26.347	0.239
9.300	26.076	0.239
9.310	25.809	0.239
9.320	25.525	0.239
9.330	25.241	0.239
9.340	24.965	0.239
9.350	24.677	0.239
9.360	24.384	0.239
9.370	24.113	0.239
9.380	23.837	0.239
9.390	23.566	0.239
9.400	23.325	0.239
9.410	23.071	0.239
9.420	22.851	0.239
9.430	22.636	0.239
9.440	22.430	0.239
9.450	22.262	0.239
9.460	22.098	0.239
9.470	21.960	0.239
9.480	21.848	0.239
9.490	21.753	0.239
9.500	21.684	0.239
9.510	21.645	0.239
9.520	21.619	0.239
9.530	21.614	0.239
9.540	21.648	0.239
9.550	21.695	0.239
9.560	21.764	0.239
9.570	21.871	0.239
9.580	21.995	0.239
9.590	22.141	0.239
9.600	22.305	0.239
9.610	22.480	0.239
9.620	22.695	0.239
9.630	22.905	0.239
9.640	23.133	0.239
9.650	23.391	0.239
9.660	23.640	0.239
9.670	23.902	0.239
9.680	24.185	0.239
9.690	24.456	0.239
9.700	24.739	0.239
9.710	25.035	0.239
9.720	25.315	0.239
9.730	25.603	0.239
9.740	25.873	0.239
9.750	26.139	0.239
9.760	26.414	0.239
9.770	26.663	0.239
9.780	26.891	0.239
9.790	27.127	0.239
9.800	27.329	0.239
9.810	27.514	0.239
9.820	27.689	0.239
9.830	27.839	0.239
9.840	27.959	0.239
9.850	28.080	0.239
9.860	28.157	0.239
9.870	28.225	0.239
9.880	28.255	0.239
9.890	28.263	0.239
9.900	28.263	0.239
9.910	28.220	0.239
9.920	28.155	0.239
9.930	28.082	0.239
9.940	27.965	0.239
9.950	27.836	0.239
9.960	27.694	0.239
9.970	27.513	0.239
9.980	27.319	0.239
9.990	27.121	0.239
10.000	26.888	0.239
10.010	26.665	0.239
10.020	26.406	0.239
10.030	26.139	0.239
10.040	25.877	0.239
10.050	25.597	0.239
10.060	25.317	0.239
10.070	25.038	0.239
10.080	24.749	0.239
10.090	24.461	0.239
10.100	24.190	0.239
10.110	23.910	0.239
10.120	23.638	0.239
10.130	23.389	0.239
10.140	23.135	0.239
10.150	22.915	0.239
10.160	22.692	0.239
10.170	22.480	0.239
10.180	22.312	0.239
10.190	22.136	0.239
10.200	21.998	0.239
10.210	21.881	0.239
10.220	21.778	0.239
10.230	21.700	0.239
10.240	21.657	0.239
10.250	21.627	0.239
10.260	21.618	0.239
10.270	21.647	0.239
